Study.ID,Cross.ID,File,Source,Study.name,Genus,spL.name,spS.name,species.pair,Female.pref,homologous,trait.type,trait,Mn.spL,SD.spL,SE.spL,Mn.hybLS,SD.hybLS,SE.hybLS,Mn.hybSL,SD.hybSL,SE.hybSL,Mn.spS,SD.spS,SE.spS,Parents.spLF.spL,Parents.spLM.spL,Parents.spLF.hybLS,Parents.spLM.hybSL,Parents.spSF.hybSL,Parents.spSM.hybLS,Parents.spSF.spS,Parents.spSM.spS,N.spL,N.hybLS,N.hybSL,N.spS,reps.spL,reps.hybLS,reps.hybSL,reps.spS,Bottleneck.spLF,Bottleneck.spLM,Bottleneck.spSF,Bottleneck.spSM,pheno.div.diff,pheno.div.ratio,reciprocal,distribution,source_distribution,taxa,souce_sex.determinaton,sex.determination,hetero.sex,divergence.cytb,divergence.COI,Survival.spL,Survival.hybLS,Survival.hybSL,Survival.spS,surv.relat.hybLS,surv.relat.hybSL,surv.File,surv.Source,surv.Study.name,comments,parentals,sq.divergence.COI,ES.ID
s001,Gryllus_rubens_Gryllus_texensis,Blankers-2015-JEB,table1,Blankers.et.al_2015,Gryllus,Gryllus_texensis,Gryllus_rubens,Gryllus_rubens_Gryllus_texensis,NA,Yes,sound,Carrier frequency,5.18,0.22,NA,5.01,0.17,NA,4.82,0.27,NA,4.73,0.27,NA,NA,NA,12,12,12,12,NA,NA,44,28,22,73,NA,NA,NA,NA,NA,NA,NA,NA,-0.637140021728814,-0.544066506533414,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,-2.39794000867204,-2.04575749056068,43.8,52.4,69.1,76.5,-0.137934851093691,0.138713288352936,Cade_1989_Gryllus.mortality,table1,NA,integer‚Ítexensis,NA,0.89897923833787,ES001
s001,Gryllus_rubens_Gryllus_texensis,Blankers-2015-JEB,table1,Blankers.et.al_2015,Gryllus,Gryllus_texensis,Gryllus_rubens,Gryllus_rubens_Gryllus_texensis,NA,Yes,sound,Pulse rate,66.88,5.4,NA,61.96,2.79,NA,55.27,3.96,NA,45.34,3.86,NA,NA,NA,12,12,12,12,NA,NA,44,28,22,73,NA,NA,NA,NA,NA,NA,NA,NA,-0.63399929439619,-0.0849049403736768,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,-2.39794000867204,-2.04575749056068,43.8,52.4,69.1,76.5,-0.137934851093691,0.138713288352936,Cade_1989_Gryllus.mortality,table1,NA,integer‚Ítexensis,NA,0.89897923833787,ES002
s001,Gryllus_rubens_Gryllus_texensis,Blankers-2015-JEB,table1,Blankers.et.al_2015,Gryllus,Gryllus_texensis,Gryllus_rubens,Gryllus_rubens_Gryllus_texensis,NA,Yes,sound,Pulse duty cycle,0.44,0.08,NA,0.48,0.08,NA,0.46,0.08,NA,0.43,0.06,NA,NA,NA,12,12,12,12,NA,NA,44,28,22,73,NA,NA,NA,NA,NA,NA,NA,NA,-0.637205546623378,-0.648732200417399,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,-2.39794000867204,-2.04575749056068,43.8,52.4,69.1,76.5,-0.137934851093691,0.138713288352936,Cade_1989_Gryllus.mortality,table1,NA,integer‚Ítexensis,NA,0.89897923833787,ES003
s001,Gryllus_rubens_Gryllus_texensis,Blankers-2015-JEB,table1,Blankers.et.al_2015,Gryllus,Gryllus_texensis,Gryllus_rubens,Gryllus_rubens_Gryllus_texensis,NA,Yes,sound,Trill rate,1.28,0.39,NA,0.68,0.35,NA,0.59,0.25,NA,0.28,0.15,NA,NA,NA,12,12,12,12,NA,NA,44,28,22,73,NA,NA,NA,NA,NA,NA,NA,NA,-0.637058115610609,1.65892178256338,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,-2.39794000867204,-2.04575749056068,43.8,52.4,69.1,76.5,-0.137934851093691,0.138713288352936,Cade_1989_Gryllus.mortality,table1,NA,integer‚Ítexensis,NA,0.89897923833787,ES004
s001,Gryllus_rubens_Gryllus_texensis,Blankers-2015-JEB,table1,Blankers.et.al_2015,Gryllus,Gryllus_rubens,Gryllus_texensis,Gryllus_rubens_Gryllus_texensis,NA,Yes,sound,Trill duty cycle,0.78,0.1,NA,0.71,0.1,NA,0.73,0.14,NA,0.62,0.11,NA,NA,NA,12,12,12,12,NA,NA,73,22,28,44,NA,NA,NA,NA,NA,NA,NA,NA,-0.637183208591141,-0.330242769148413,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,-2.39794000867204,-2.04575749056068,76.5,69.1,52.4,43.8,0.138713288352936,-0.137934851093691,Cade_1989_Gryllus.mortality,table1,NA,integer‚Ítexensis,NA,0.89897923833787,ES005
s002,parallelus_localityA,ButlinHewitt_BiolJLinnSoc.1988,Fig1,Butlin&Hewitt_1988,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,NA,Yes,sound,EI,14.96,3.09586821424944,NA,12.5,1.89736659610103,NA,11.6,2.32163735324878,NA,9.18888888888889,1.58636162645109,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,12,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.636347600718544,0.0672205119964001,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ES006
s002,parallelus_localityB,ButlinHewitt_BiolJLinnSoc.1988,Fig1,Butlin&Hewitt_1988,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,NA,Yes,sound,EI,14.96,3.09586821424944,NA,12.7666666666667,1.74610678049451,NA,11.74,2.94998305079877,NA,10.788,2.47035544001263,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,10,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.636585740688889,-0.18012690440498,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ES007
s002,parallelus_localityA,ButlinHewitt_BiolJLinnSoc.1988,Fig1,Butlin&Hewitt_1988,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,NA,Yes,sound,SI,15.1375,11.2491874706576,NA,0.5,NA,NA,9.7,6.22825216252521,NA,11.875,6.64473475768597,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,6,NA,NA,NA,NA,NA,NA,NA,NA,-0.636721183624357,-0.309945961644737,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ES008
s002,parallelus_localityB,ButlinHewitt_BiolJLinnSoc.1988,Fig1,Butlin&Hewitt_1988,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,NA,Yes,sound,SI,15.1375,11.2491874706576,NA,10.425,10.2530483272049,NA,6.93055555555555,5.62480589514204,NA,11.4291666666667,11.0768872658342,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,9,24,NA,NA,NA,NA,NA,NA,NA,NA,-0.636654790028539,-0.250950534788511,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ES009
s002,parallelus_localityA,ButlinHewitt_BiolJLinnSoc.1988,Fig1,Butlin&Hewitt_1988,Chorthippus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,NA,Yes,sound,ES,59.4444444444444,25.434495871688,NA,43.6666666666667,18.5711843695788,NA,60.7142857142857,12.9362644830535,NA,31.6666666666667,26.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,15,7,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.633070363188911,0.2867454580556,Viable,Overlap,original study,Orthoptera,Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. "Sex and neo-sex chromosomes in Orthoptera: a review." Journal of Orthoptera Research (2010): 213-231.,X0,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ES010
