"ES.ID","lnRR.es","lnRR.sv","direction","SE","parental","Study.ID","Study.name","Source","Cross.ID","Genus","spL.name","spS.name","species.pair","homologous","trait.type","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Pheno.divergence","Reciprocal","Distribution","Source_distribution","taxa","souce_sex.determinaton","sex.determination","Hetero.sex","Genet.divergence","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","Novelty","sp1.name","sp2.name","Survival.sp1","Survival.hyb12","Survival.hyb21","Survival.sp2","surv.relat.hyb12","surv.relat.hyb21","insect"
"ES001",0.0333691411746183,0.0000821162802796835,"+",0.213758305026977,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",5.18,0.22,NA,5.01,0.17,NA,4.82,0.27,NA,4.73,0.27,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.610975884431784,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.14882198915557,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES002",0.0764109532277782,0.000220578707324316,"+",0.213758305026977,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",66.88,5.4,NA,61.96,2.79,NA,55.27,3.96,NA,45.34,3.86,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.15938928224546,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.14882198915557,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES003",-0.0870113769896297,0.00174337829296507,"+",0.213758305026977,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",0.44,0.08,NA,0.48,0.08,NA,0.46,0.08,NA,0.43,0.06,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.71391486833206,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.14882198915557,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES004",0.63252255874351,0.0115713795688626,"+",0.213758305026977,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",1.28,0.39,NA,0.68,0.35,NA,0.59,0.25,NA,0.28,0.15,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,1.55566886427829,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.14882198915557,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES005",0.0940289496482764,0.00112685528001747,"+",0.186091888273012,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound",0.78,0.1,NA,0.71,0.1,NA,0.73,0.14,NA,0.62,0.11,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.400679679024031,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.14882198915557,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES034",0.201250441000618,0.000567279645180525,"+",0.286786860477274,"Mother","s003","Carson.et.al_1994","table4","Drosophila_heteroneura_Drosophila_silvestris","Drosophila","Drosophila_silvestris","Drosophila_heteroneura","Drosophila_heteroneura_Drosophila_silvestris","Yes","morphology",72.85,6.33,NA,59.57,3.67,NA,45.15,2.76,NA,37.25,1.65,NA,"35","35","35","35","35","35","35","35",20,20,20,20,NA,NA,NA,NA,0.268255359295707,"Viable","Overlap","Drosophila heteroneura and Drosophila silvestris: Head Shapes, Behavior and Evolution","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.14882198915557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES035",0.861397562825146,0.000459314967006496,"+",0.242379135332601,"Mother","s004","Coyne_1983","table3","BGxMutant","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",12166,735,147,5141,506.666557017532,91,NA,NA,NA,1442,202.657346276911,37,"3","3","20","20","20","20","3","3",25,31,0,30,NA,NA,NA,NA,2.48481162101261,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.627799014683461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES036",-0.0207476321942485,0.0000344457871912234,"+",0.242379135332601,"Mother","s004","Coyne_1983","table3","BGxMutant","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",477,10,2,487,11.13552872566,2,NA,NA,NA,462,10.9544511501033,2,"3","3","20","20","20","20","3","3",25,31,0,30,NA,NA,NA,NA,-0.70032607746373,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.627799014683461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES037",0.879320791957871,0.00136153285082216,"+",0.242379135332601,"Mother","s004","Coyne_1983","table3","BGxMutant","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",25.49,1.5,0.3,10.58,2.06007281424711,0.37,NA,NA,NA,3.12,0.438178046004133,0.08,"3","3","20","20","20","20","3","3",25,31,0,30,NA,NA,NA,NA,2.43604750093694,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.627799014683461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES038",0.802665706366435,0.000718795030916691,"+",0.234160491034691,"Mother","s004","Coyne_1983","table3","BGxSPD(wildtype)","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",12050,1007.80950580951,184,5400,651.789843431148,119,5139,471.041399454443,86,1442,202.657346276911,37,"3","3","20","20","20","20","3","3",30,30,30,30,NA,NA,NA,NA,2.47028512662328,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.627799014683461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
