Study.ID,Study.name,Source,Cross.ID,Genus,sp1.name,sp2.name,species.pair,homologous,trait.type,trait,Mn.sp1,SD.sp1,SE.sp1,Mn.hyb12,SD.hyb12,SE.hyb12,Mn.hyb21,SD.hyb21,SE.hyb21,Mn.sp2,SD.sp2,SE.sp2,Parents.sp1F.sp1,Parents.sp1M.sp1,Parents.sp1F.hyb12,Parents.sp1M.hyb21,Parents.sp2F.hyb21,Parents.sp2M.hyb12,Parents.sp2F.sp2,Parents.sp2M.sp2,N.sp1,N.hyb12,N.hyb21,N.sp2,reps.sp1,reps.hyb12,reps.hyb21,reps.sp2
s001,Blankers.et.al_2015,table1,Gryllus_rubens_Gryllus_texensis,Gryllus,Gryllus_rubens,Gryllus_texensis,Gryllus_rubens_Gryllus_texensis,Yes,sound,Carrier frequency,4.73,0.27,,4.82,0.27,,5.01,0.17,,5.18,0.22,,NA,NA,12,12,12,12,NA,NA,73,22,28,44,,,,
s001,Blankers.et.al_2015,table1,Gryllus_rubens_Gryllus_texensis,Gryllus,Gryllus_rubens,Gryllus_texensis,Gryllus_rubens_Gryllus_texensis,Yes,sound,Pulse rate,45.34,3.86,,55.27,3.96,,61.96,2.79,,66.88,5.4,,NA,NA,12,12,12,12,NA,NA,73,22,28,44,,,,
s001,Blankers.et.al_2015,table1,Gryllus_rubens_Gryllus_texensis,Gryllus,Gryllus_rubens,Gryllus_texensis,Gryllus_rubens_Gryllus_texensis,Yes,sound,Pulse duty cycle,0.43,0.06,,0.46,0.08,,0.48,0.08,,0.44,0.08,,NA,NA,12,12,12,12,NA,NA,73,22,28,44,,,,
s001,Blankers.et.al_2015,table1,Gryllus_rubens_Gryllus_texensis,Gryllus,Gryllus_rubens,Gryllus_texensis,Gryllus_rubens_Gryllus_texensis,Yes,sound,Trill rate,0.28,0.15,,0.59,0.25,,0.68,0.35,,1.28,0.39,,NA,NA,12,12,12,12,NA,NA,73,22,28,44,,,,
s001,Blankers.et.al_2015,table1,Gryllus_rubens_Gryllus_texensis,Gryllus,Gryllus_rubens,Gryllus_texensis,Gryllus_rubens_Gryllus_texensis,Yes,sound,Trill duty cycle,0.78,0.1,,0.71,0.1,,0.73,0.14,,0.62,0.11,,NA,NA,12,12,12,12,NA,NA,73,22,28,44,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,EI,14.96,3.095868214,,12.5,1.897366596,,11.6,2.321637353,,9.188888889,1.586361626,,,,,,,,,,10,7,12,9,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,EI,14.96,3.095868214,,12.76666667,1.74610678,,11.74,2.949983051,,10.788,2.47035544,,,,,,,,,,10,3,10,25,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,SI,15.1375,11.24918747,,0.5,NA,,9.7,6.228252163,,11.875,6.644734758,,,,,,,,,,8,1,10,6,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,SI,15.1375,11.24918747,,10.425,10.25304833,,6.930555556,5.624805895,,11.42916667,11.07688727,,,,,,,,,,8,3,9,24,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,ES,31.66666667,26.66666667,,60.71428571,12.93626448,,43.66666667,18.57118437,,59.44444444,25.43449587,,,,,,,,,,10,7,15,9,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,ES,31.66666667,26.66666667,,31.66666667,9.428090416,,52.27272727,18.13630668,,44.16666667,25.31742922,,,,,,,,,,10,3,11,10,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,SH,4.153846154,12.62171511,,2.357142857,2.899683304,,9.214285714,5.337583341,,5.954545455,4.639036663,,,,,,,,,,26,14,14,11,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,SH,4.153846154,12.62171511,,4.785714286,5.034574339,,7.916666667,5.529592109,,7.366666667,5.07937004,,,,,,,,,,26,7,12,30,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,EH,63.07692308,66.49287011,,108.5714286,102.7380263,,194.2857143,83.64160668,,200,120.3328717,,,,,,,,,,26,14,14,10,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,EH,63.07692308,66.49287011,,77.14285714,73.6234213,,223.0769231,116.8420772,,181.3333333,123.28107,,,,,,,,,,26,7,13,30,,,,
