sp1.name	sp2.name	species.pair	Cross.ID	Distribution	Source_distribution	taxa	souce_sex.determinaton	sex.determination	Hetero.sex	Genet.divergence	Survival.sp1	Survival.hyb12	Survival.hyb21	Survival.sp2	surv.relat.hyb12	surv.relat.hyb21	surv.File	surv.Source	surv.Study.name	comments	parentals		
Drosophila_auraria	Drosophila_biauraria	Drosophila_auraria_Drosophila_biauraria	A541.auraria_B16.biauraria	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	NA	NA	NA	NA				parental data provided in other paper (Tomaru.Oguma_1993.AnimBehav)_N: n of song_Parents: n of indv (mass culture)			
Drosophila_auraria	Drosophila_biauraria	Drosophila_auraria_Drosophila_biauraria	A541.auraria_B18.biauraria	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	NA	NA	NA	NA				parental data provided in other paper (Tomaru.Oguma_1993.AnimBehav)_N: n of song_Parents: n of indv (mass culture)			
Drosophila_auraria	Drosophila_quadraria	Drosophila_auraria_Drosophila_quadraria	A541.auraria_quadraria	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.001	NA	NA	NA	NA	NA	NA							
Drosophila_auraria	Drosophila_subauraria	Drosophila_auraria_Drosophila_subauraria	A541.auraria_subauraria	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	NA	NA	NA	NA							
Drosophila_auraria	Drosophila_triauraria	Drosophila_auraria_Drosophila_triauraria	A541.auraria_T544_triauraria	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.002	NA	NA	NA	NA	NA	NA							
Drosophila_auraria	Drosophila_biauraria	Drosophila_auraria_Drosophila_biauraria	A662.auraria_B18.biauraria	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	NA	NA	NA	NA				parental data provided in other paper (Tomaru.Oguma_1993.AnimBehav)_N: n of song_Parents: n of indv (mass culture)			
Agrotis_ipsilon	Agrotis_segetum	Agrotis_ipsilon_Agrotis_segetum	Agrotis_ipsilon_Agrotis_segetum	Overlap	original study	Lepidoptera	"Traut W. K. Sahara and F. Marec. ""Sex chromosomes and sex determination in Lepidoptera."" Sexual Development 1.6 (2007): 332-346."	ZW/Z0	Female	0.049	65	1	0	60	-4.135166557	NA	Gadenne_PheromoneReceptor_JChemEcol.1997	table1	Gadenne et al_1997				
Drosophila_melanogaster	Drosophila_simulans	Drosophila_melanogaster_Drosophila_simulans	Basc	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.051	1	0.5	0.2	1	-0.693147181	-1.609437912	reviewed in Sawamura_						
Drosophila_mauritiana	Drosophila_simulans	Drosophila_mauritiana_Drosophila_simulans	BGxMutant	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA				
Drosophila_mauritiana	Drosophila_simulans	Drosophila_mauritiana_Drosophila_simulans	BGxOxnard	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA				
Drosophila_mauritiana	Drosophila_simulans	Drosophila_mauritiana_Drosophila_simulans	BGxSPD(wildtype)	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA				
Carabus_iwawakianus	Carabus_maiyasanus	Carabus_iwawakianus_Carabus_maiyasanus	Carabus_iwawakianus_Carabus_maiyasanus	Overlap	original study	Coleoptera	"Serrano J. and J. S. Yadav. ""Chromosome numbers and sex-determining mechanisms in adephagan Coleoptera."" The Coleopterists' Bulletin (1984): 335-357."	XY	Male	0.014													
Drosophila_madeirensis	Drosophila_subobscura	Drosophila_madeirensis_Drosophila_subobscura	chcu	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	3.496	NA	NA	NA	NA	NA	NA							
Chorthippus_biguttulus	Chorthippus_brunneus	Chorthippus_biguttulus_Chorthippus_brunneus	Chorthippus_biguttulus_Chorthippus_brunneus	Overlap	original study	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0/XY	Male	0.849	0.593220339	0.5	0.723684211	0.352941176	0.055341989	0.425089015	Perdeck_1958_Grasshopper	table7			wild but caught in juvenile stage		
Chrysoperla_johnsoni	Chrysoperla_plorabunda	Chrysoperla_johnsoni_Chrysoperla_plorabunda	Chrysoperla_johnsoni_Chrysoperla_plorabunda	Overlap	original study	Neuroptera	"Tauber Catherine A. and Maurice J. Tauber. ""Inheritance of seasonal cycles in Chrysoperla (Insecta: Neuroptera)."" Genetics Research 49.3 (1987): 215-223."	XY	Male	0.011	0.62552	0.454357143	0.489375	0.547333333	-0.255164078	-0.180918558	Wells_1993_Lacewings	table1					
Drosophila_biauraria	Drosophila_subauraria	Drosophila_biauraria_Drosophila_subauraria	Drosophila_biauraria_Drosophila_subauraria	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.011	NA	NA	NA	NA	NA	NA							
Drosophila_borealis	Drosophila_virilis	Drosophila_borealis_Drosophila_virilis	Drosophila_borealis_Drosophila_virilis	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.12	NA	NA	NA	0.99	NA	NA				Parents: ?? (mass culture)_SD estimated by Wan et al 2014			
