"Study.ID"	"Cross.ID"	"Env.ID"	"Usable"	"File"	"Source"	"Study.name"	"Genus"	"spL.name"	"spS.name"	"species.pair"	"taxa"	"sex.det"	"hetero.males"	"trait.type"	"trait"	"Mn.spL"	"SD.spL"	"SE.spL"	"Mn.hybLS"	"SD.hybLS"	"SE.hybLS"	"Mn.hybSL"	"SD.hybSL"	"SE.hybSL"	"Mn.spS"	"SD.spS"	"SE.spS"	"Parents.spLF.spL"	"Parents.sp.spL"	"Parents.spLF.hybLS"	"Parents.sp.hybSL"	"Parents.spSF.hybSL"	"Parents.sp.hybLS"	"Parents.spSF.spS"	"Parents.sp.spS"	"lnL.lnS"	"divergence"	"N.spL"	"N.hybLS"	"N.hybSL"	"N.spS"	"reps.spL"	"reps.hybLS"	"reps.hybSL"	"reps.spS"	"Bottleneck.spLF"	"Bottleneck.sp"	"Bottleneck.spSF"	"Bottleneck.sp.1"	"Survival.spL"	"Survival.hybLS"	"Survival.hybSL"	"Survival.spS"	"surv.relat.hyb"	"surv.File"	"surv.Source"	"surv.Study.name"	"comments"	"parentals"	"ES.ID"	"sex"	"lnCVR.es"	"lnCVR.sv.corT"	"lnCVR.sv.corF"	"comparison"	"comp.ID"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Carrier frequency"	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	"integerはtexensis"	NA	"ES001"	"male"	-0.217569356585707	0.0272085416611902	0.0275322154179268	"LS.L"	"comp.1"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Carrier frequency"	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	"integerはtexensis"	NA	"ES001"	"male"	-0.508560160466971	0.0227729451652491	0.0231131713200743	"LS.S"	"comp.2"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Carrier frequency"	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	"integerはtexensis"	NA	"ES001"	"male"	0.289007157687676	0.0307254934824421	0.0311088746465426	"SL.L"	"comp.3"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Carrier frequency"	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	"integerはtexensis"	NA	"ES001"	"male"	-0.00198364619358804	0.026271226621035	0.0266898305486901	"SL.S"	"comp.4"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse rate"	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES002"	"male"	-0.577055792967401	0.0255935778360498	0.0262052029267953	"LS.L"	"comp.5"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse rate"	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES002"	"male"	-0.625350884038676	0.0217733782097415	0.0222783291956378	"LS.S"	"comp.6"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse rate"	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES002"	"male"	-0.107303608539785	0.0287272686399317	0.0294151385877342	"SL.L"	"comp.7"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse rate"	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES002"	"male"	-0.15559869961106	0.0248832820139019	0.0254882648565767	"SL.S"	"comp.8"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse duty cycle"	0.44	0.08	NA	0.48	0.08	NA	0.46	0.08	NA	0.43	0.06	NA	NA	NA	12	12	12	12	NA	NA	-0.287251163868385	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES003"	"male"	-0.0801207654478555	0.0178977074638878	0.0192874292146257	"LS.L"	"comp.9"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse duty cycle"	0.44	0.08	NA	0.48	0.08	NA	0.46	0.08	NA	0.43	0.06	NA	NA	NA	12	12	12	12	NA	NA	-0.287251163868385	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES003"	"male"	0.189255251311526	0.0157553760340733	0.016624152912885	"LS.S"	"comp.10"
