Study.ID	Cross.ID	Env.ID	Usable	File	Source	Study.name	Genus	spL.name	spS.name	species.pair	taxa	sex.det	hetero.males	trait.type	trait	Parents.spLF.spL	Parents.sp.spL	Parents.spLF.hybLS	Parents.sp.hybSL	Parents.spSF.hybSL	Parents.sp.hybLS	Parents.spSF.spS	Parents.sp.spS	lnL.lnS	divergence	Mn.spL	SD.spL	SE.spL	Mn.hybLS	SD.hybLS	SE.hybLS	Mn.hybSL	SD.hybSL	SE.hybSL	Mn.spS	SD.spS	SE.spS	N.spL	N.hybLS	N.hybSL	N.spS	reps.spL	reps.hybLS	reps.hybSL	reps.spS	Bottleneck.spLF	Bottleneck.sp	Bottleneck.spSF	Bottleneck.sp.1	Survival.spL	Survival.hybLS	Survival.hybSL	Survival.spS	surv.relat.hybLS	surv.relat.hybSL	surv.File	surv.Source	surv.Study.name	comments	parentals	ES.ID	sex	lnCVR.es.LS.L	lnCVR.es.SL.L	lnCVR.es.LS.S	lnCVR.es.SL.S	lnCVR.sv.corT.LS.L	lnCVR.sv.corT.SL.L	lnCVR.sv.corT.LS.S	lnCVR.sv.corT.SL.S	lnCVR.sv.corF.LS.L	lnCVR.sv.corF.SL.L	lnCVR.sv.corF.LS.S	lnCVR.sv.corF.SL.S
s001	NA	NA	y	Blankers-2015-JEB	table1	Blankers.et.al_2015	Gryllus	Gryllus_texensis	Gryllus_rubens	Gryllus_rubens_Gryllus_texensis	Orthoptera	X0	0.31197122273624	0.31197122273624	Carrier frequency	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	Cade_1989_Gryllus.mortality	table1	NA	integerはtexensis	NA	ES001	male	-0.217569356585707	0.289007157687676	-0.508560160466971	-0.00198364619358804	0.0272085416611902	0.0307254934824421	0.0227729451652491	0.026271226621035	0.0275322154179268	0.0311088746465426	0.0231131713200743	0.0266898305486901
s001	NA	NA	y	Blankers-2015-JEB	table1	Blankers.et.al_2015	Gryllus	Gryllus_texensis	Gryllus_rubens	Gryllus_rubens_Gryllus_texensis	Orthoptera	X0	0.31197122273624	0.31197122273624	Pulse rate	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	Cade_1989_Gryllus.mortality	table1	NA	NA	NA	ES002	male	-0.577055792967401	-0.107303608539785	-0.625350884038676	-0.15559869961106	0.0255935778360498	0.0287272686399317	0.0217733782097415	0.0248832820139019	0.0262052029267953	0.0294151385877342	0.0222783291956378	0.0254882648565767
s001	NA	NA	y	Blankers-2015-JEB	table1	Blankers.et.al_2015	Gryllus	Gryllus_texensis	Gryllus_rubens	Gryllus_rubens_Gryllus_texensis	Orthoptera	X0	0.31197122273624	0.31197122273624	Pulse duty cycle	NA	NA	12	12	12	12	NA	NA	-0.287251163868385	-0.695224376631898	0.44	0.08	NA	0.48	0.08	NA	0.46	0.08	NA	0.43	0.06	NA	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	Cade_1989_Gryllus.mortality	table1	NA	NA	NA	ES003	male	-0.0801207654478555	-0.0322701457380545	0.189255251311526	0.237105871021327	0.0178977074638878	0.0207949144676443	0.0157553760340733	0.0186120381010253	0.0192874292146257	0.0223586792899158	0.016624152912885	0.0196954029881752
s001	NA	NA	y	Blankers-2015-JEB	table1	Blankers.et.al_2015	Gryllus	Gryllus_texensis	Gryllus_rubens	Gryllus_rubens_Gryllus_texensis	Orthoptera	X0	0.31197122273624	0.31197122273624	Trill rate	NA	NA	12	12	12	12	NA	NA	0.575606644066865	-0.695224376631898	1.28	0.39	NA	0.68	0.35	NA	0.59	0.25	NA	0.28	0.15	NA	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	Cade_1989_Gryllus.mortality	table1	NA	NA	NA	ES004	male	0.531199585645052	0.341988615585232	-0.0284312605396252	-0.217642230599445	0.00657305491788055	0.00919759033857317	0.00300420899890784	0.00554830874084722	0.00894676681144393	0.0119736813873459	0.00628420270465691	0.00931111728055889
s001	NA	NA	y	Blankers-2015-JEB	table1	Blankers.et.al_2015	Gryllus	Gryllus_rubens	Gryllus_texensis	Gryllus_rubens_Gryllus_texensis	Orthoptera	X0	0.31197122273624	0.31197122273624	Trill duty cycle	NA	NA	12	12	12	12	NA	NA	-0.168164379392867	-0.695224376631898	0.78	0.1	NA	0.71	0.1	NA	0.73	0.14	NA	0.62	0.11	NA	73	22	28	44	NA	NA	NA	NA	NA	NA	NA	NA	76.5	69.1	52.4	43.8	0.512231792442923	0.146548496696866	Cade_1989_Gryllus.mortality	table1	NA	NA	NA	ES005	male	0.110894029013355	0.414295696236487	-0.218674054967769	0.0847276122553628	0.0205125401114835	0.0150537881079466	0.0224557571267412	0.0169634227980723	0.0211213631636103	0.0158051317261421	0.0242202181684575	0.0189039867309893
s002	parallelus_localityA	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	EI	NA	NA	NA	NA	NA	NA	NA	NA	-0.0195483832198299	NA	14.96	3.09586821424944	NA	12.5	1.89736659610103	NA	11.6	2.32163735324878	NA	9.18888888888889	1.58636162645109	NA	10	7	12	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES006	male	-0.282172359617717	-0.0435218315711492	-0.107876472406143	0.130774055640425	0.0846623486062087	0.0550174818638798	0.0923371912643048	0.0626322014124722	0.0918717241031468	0.0625511713752308	0.10102553495551	0.0717049822275936
s002	parallelus_localityB	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	EI	NA	NA	NA	NA	NA	NA	NA	NA	-0.112034367292217	NA	14.96	3.09586821424944	NA	12.7666666666667	1.74610678049451	NA	11.74	2.94998305079877	NA	10.788	2.47035544001263	NA	10	3	10	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES007	male	-0.219692966131587	0.194109194625057	-0.286209965939595	0.127592194817049	0.209987843734591	0.0557045976340491	0.189657409960625	0.0354849276430091	0.217366992329616	0.0634674579194967	0.194198951469739	0.0402994170596194
s002	parallelus_localityA	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	SI	NA	NA	NA	NA	NA	NA	NA	NA	-0.160575174529457	NA	15.1375	11.2491874706576	NA	0.5	NA	NA	9.7	6.22825216252521	NA	11.875	6.64473475768597	NA	8	1	10	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES008	male	NA	-0.162023952039047	NA	0.0931359863484794	NA	0.00905334564964425	NA	0.0152355382630638	NA	0.0430562017935054	NA	0.0601007877912637
s002	parallelus_localityB	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	SI	NA	NA	NA	NA	NA	NA	NA	NA	-0.138516120151809	NA	15.1375	11.2491874706576	NA	10.425	10.2530483272049	NA	6.93055555555555	5.62480589514204	NA	11.4291666666667	11.0768872658342	NA	8	3	9	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES009	male	0.458818927700671	0.0791970994683031	0.242937019458805	-0.136684808773563	0.0286669081182389	0.00974261017519906	0.0253206238516154	0.00816938148239901	0.0630315791680641	0.0444523157676906	0.0472512884783609	0.0286720250779874
s002	parallelus_localityA	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	ES	NA	NA	NA	NA	NA	NA	NA	NA	0.0625344659164496	NA	59.4444444444444	25.434495871688	NA	43.6666666666667	18.5711843695788	NA	60.7142857142857	12.9362644830535	NA	31.6666666666667	26.6666666666667	NA	9	15	7	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES010	male	-0.0328237850938747	-0.676375307223469	-0.70296489546421	-1.3465164175938	0.0216280557005568	0.0588273549607053	0.0120542007015695	0.0488877604269302	0.0381635178409054	0.0760555402834916	0.0490725307092324	0.0869645531518186
s002	parallelus_localityB	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	ES	NA	NA	NA	NA	NA	NA	NA	NA	-0.108713882507154	NA	44.1666666666667	25.3174292182722	NA	52.2727272727273	18.1363066756909	NA	31.6666666666667	9.42809041582063	NA	31.6666666666667	26.6666666666667	NA	10	11	3	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES011	male	-0.507637204415947	-0.460649287021438	-0.892264243789984	-0.845276326395475	0.0216123311200641	0.119297702188026	0.0200993163201827	0.116591445931427	0.0414155085583242	0.142018330850973	0.0571631435839211	0.15776596587657
s002	parallelus_localityA	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	SH	NA	NA	NA	NA	NA	NA	NA	NA	-0.0929107159670853	NA	5.95454545454545	4.63903666260839	NA	9.21428571428571	5.3375833406484	NA	2.35714285714286	2.89968330431206	NA	4.15384615384615	12.6217151095916	NA	11	14	14	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES012	male	-0.307872402702054	0.44526097320674	-1.63890460654332	-0.885771230634524	0.00746125224650181	0.0256202472255703	0.2149233205164	0.232163415406645	0.0318183790725782	0.0520800323251241	0.264669438371908	0.284931091624454
s002	parallelus_localityB	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	SH	NA	NA	NA	NA	NA	NA	NA	NA	0.0297648005966693	NA	7.36666666666667	5.07937003968012	NA	7.91666666666667	5.52959210872637	NA	4.78571428571429	5.03457433905889	NA	4.15384615384615	12.6217151095916	NA	30	12	7	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES013	male	0.041135051313349	0.488563720330492	-1.44478570613241	-0.997357037115264	0.00420450855161545	0.0207574582889634	0.214084739487345	0.229140133945804	0.0121173280331664	0.032461980564719	0.264048493457666	0.284393145989219
s002	parallelus_localityA	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	EH	NA	NA	NA	NA	NA	NA	NA	NA	0.364703101017299	NA	200	120.332871651931	NA	194.285714285714	83.6416066760254	NA	108.571428571429	102.738026264944	NA	63.0769230769231	66.4928701076133	NA	10	14	14	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES014	male	-0.351827229393053	0.435735546143702	-0.877066950105764	-0.0895041745690091	0.0132123196811577	0.0116612107431062	0.0138446643940861	0.011732600318973	0.0339832757277078	0.0340573530543429	0.0313102626027878	0.0313843399294228
s002	parallelus_localityB	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	EH	NA	NA	NA	NA	NA	NA	NA	NA	0.308221865213348	NA	181.333333333333	123.281070007614	NA	223.076923076923	116.842077206446	NA	77.1428571428571	73.6234212955722	NA	63.0769230769231	66.4928701076133	NA	30	13	7	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES015	male	-0.236398027858929	0.405266250479811	-0.677766478961605	-0.0361022006228648	0.00663562967315489	0.0133672689894195	0.0111498120587326	0.0166328610400606	0.0143434055632295	0.0245846773527001	0.0287375894571947	0.0389788612466653
s002	parallelus_localityA	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	COH	NA	NA	NA	NA	NA	NA	NA	NA	0.096753716088835	NA	4.98	5.9337677743572	NA	7.85714285714286	6.97554035651046	NA	6.42857142857143	5.03508101387917	NA	2.5	3.90803368367358	NA	25	14	14	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES016	male	-0.276614531184923	-0.401924014711067	-0.577295323969712	-0.702604807495857	0.0160187636640563	0.0140946017946727	0.0718813919328744	0.0694194212732878	0.0321664601990366	0.0313799671107088	0.134240375188385	0.133453882100057
s002	parallelus_localityB	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	COH	NA	NA	NA	NA	NA	NA	NA	NA	-0.139534765368653	NA	4.98	5.9337677743572	NA	3.5	4.89897948556636	NA	10.1923076923077	8.60576385904431	NA	3.76666666666667	4.61109772421082	NA	25	8	13	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES017	male	0.211629689463677	-0.323597255008724	0.188175629133995	-0.347051315338406	0.071952252765438	0.0152785608097254	0.0696916503077972	0.0135548739898828	0.0887349248933035	0.0328051588459526	0.0891126702439038	0.033182904196553
s002	parallelus_localityA	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	COD	NA	NA	NA	NA	NA	NA	NA	NA	-0.122512925479243	NA	60.4615384615385	13.8153503511653	NA	51.6	7.2	NA	58.2857142857143	17.9181813946002	NA	44.4	11.7575507653593	NA	13	10	14	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES018	male	-0.479324640862931	0.293480880880249	-0.710141273999649	0.0626642477435306	0.0580970916197198	0.0347561830236034	0.0950219477690153	0.0713902530998388	0.0641175285590944	0.0412811587808697	0.1196565526524	0.0968201828741754
s002	parallelus_localityB	NA	y	ButlinHewitt_BiolJLinnSoc.1988	Fig1	Butlin&Hewitt_1988	Chorthippus	Chorthippus_parallelus_eythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus	Orthoptera	X0	0.31197122273624	0.31197122273624	COD	NA	NA	NA	NA	NA	NA	NA	NA	-0.110707986337931	NA	60.4615384615385	13.8153503511653	NA	66	9.79795897113271	NA	55.0909090909091	11.9503103455673	NA	43.5	14.6201915172134	NA	13	3	11	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ES019	male	-0.222920196245486	-0.0436670148432667	-0.600456595439634	-0.421203414037415	0.195235139070484	0.0466982699329697	0.184727847256737	0.0363526646131724	0.201495966303069	0.0531700406363983	0.19442664352433	0.0461007178576596
