"Study.ID"	"Cross.ID"	"Env.ID"	"Usable"	"File"	"Source"	"Study.name"	"Genus"	"spL.name"	"spS.name"	"species.pair"	"taxa"	"sex.det"	"hetero.males"	"trait.type"	"trait"	"Mn.spL"	"SD.spL"	"SE.spL"	"Mn.hybLS"	"SD.hybLS"	"SE.hybLS"	"Mn.hybSL"	"SD.hybSL"	"SE.hybSL"	"Mn.spS"	"SD.spS"	"SE.spS"	"Parents.spLF.spL"	"Parents.sp.spL"	"Parents.spLF.hybLS"	"Parents.sp.hybSL"	"Parents.spSF.hybSL"	"Parents.sp.hybLS"	"Parents.spSF.spS"	"Parents.sp.spS"	"lnL.lnS"	"divergence"	"N.spL"	"N.hybLS"	"N.hybSL"	"N.spS"	"reps.spL"	"reps.hybLS"	"reps.hybSL"	"reps.spS"	"Bottleneck.spLF"	"Bottleneck.sp"	"Bottleneck.spSF"	"Bottleneck.sp.1"	"Survival.spL"	"Survival.hybLS"	"Survival.hybSL"	"Survival.spS"	"surv.relat.hybLS"	"surv.relat.hybSL"	"surv.File"	"surv.Source"	"surv.Study.name"	"comments"	"parentals"	"ES.ID"	"sex"	"lnRR.dist.mother.es"	"lnRR.dist.mother.sv"	"lnRR.dist.father.es"	"lnRR.dist.father.sv"	"SMD.dist.mother.es"	"SMD.dist.mother.sv"	"SMD.dist.father.es"	"SMD.dist.father.sv"	"hyb"	"comp.ID"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Carrier frequency"	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	"integerはtexensis"	NA	"ES001"	"male"	0.0333691411746182	0.00000379310492393896	0.0575107125929317	0.00000754802541647898	0.831769738838414	0.0632460091252204	1.12599626700899	0.0556894880954214	"LS"	"comp.1"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Carrier frequency"	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	"integerはtexensis"	NA	"ES001"	"male"	0.0720311282088826	0.00000893025450884549	0.0188487255586673	0.0000136516671431473	1.4975094596489	0.0851707165283178	0.330636701636212	0.0597285473203153	"SL"	"comp.2"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse rate"	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES002"	"male"	0.0764109532277786	0.00629209545217011	0.312299370469284	0.00268136505304255	1.06423641274321	0.0663068302624511	4.58176370794198	0.153336473650352	"LS"	"comp.3"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse rate"	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES002"	"male"	0.190669702931275	0.0122148584338686	0.198040620765788	0.0048966539195398	2.30681179434318	0.108495307988794	2.53673964807195	0.0930218494973223	"SL"	"comp.4"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse duty cycle"	0.44	0.08	NA	0.48	0.08	NA	0.46	0.08	NA	0.43	0.06	NA	NA	NA	12	12	12	12	NA	NA	-0.287251163868385	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES003"	"male"	-0.0870113769896298	0.0000111576210749764	0.110000895214329	0.00000436230252320132	-0.494620433835231	0.0601405124246651	0.751161453983415	0.0522062006530071	"LS"	"comp.5"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse duty cycle"	0.44	0.08	NA	0.48	0.08	NA	0.46	0.08	NA	0.43	0.06	NA	NA	NA	12	12	12	12	NA	NA	-0.287251163868385	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES003"	"male"	-0.0444517625708339	0.0000136071773997691	0.0674412807955327	0.00000517478346980157	-0.247056894447219	0.0686442205234387	0.457411941816419	0.0602543634047753	"SL"	"comp.6"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Trill rate"	1.28	0.39	NA	0.68	0.35	NA	0.59	0.25	NA	0.28	0.15	NA	NA	NA	12	12	12	12	NA	NA	0.575606644066865	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES004"	"male"	0.63252255874351	0.00180318711832766	0.887303195000903	0.000624197061238204	1.58245988714406	0.0758316924305861	1.7793108942683	0.0650859220812812	"LS"	"comp.7"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Trill rate"	1.28	0.39	NA	0.68	0.35	NA	0.59	0.25	NA	0.28	0.15	NA	NA	NA	12	12	12	12	NA	NA	0.575606644066865	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES004"	"male"	0.774492820013898	0.00217474587917614	0.745332933730515	0.000303561066865001	1.9466316429492	0.0968892026767507	1.73163546675192	0.0749350776426536	"SL"	"comp.8"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_rubens"	"Gryllus_texensis"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Trill duty cycle"	0.78	0.1	NA	0.71	0.1	NA	0.73	0.14	NA	0.62	0.11	NA	NA	NA	12	12	12	12	NA	NA	-0.168164379392867	-0.695224376631898	73	22	28	44	NA	NA	NA	NA	NA	NA	NA	NA	76.5	69.1	52.4	43.8	0.512231792442923	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES005"	"male"	0.0940289496482764	0.0000112685528001748	0.135545491996224	0.0000194394595610496	0.694337073436047	0.0616905649154672	0.832604618078619	0.0734335640154988	"LS"	"comp.9"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_rubens"	"Gryllus_texensis"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Trill duty cycle"	0.78	0.1	NA	0.71	0.1	NA	0.73	0.14	NA	0.62	0.11	NA	NA	NA	12	12	12	12	NA	NA	-0.168164379392867	-0.695224376631898	73	22	28	44	NA	NA	NA	NA	NA	NA	NA	NA	76.5	69.1	52.4	43.8	0.512231792442923	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES005"	"male"	0.0662493855412006	0.0000142555605764568	0.1633250561033	0.0000283550961656994	0.44173232337697	0.0503788933043216	0.88869458392791	0.0639261283269946	"SL"	"comp.10"
