"Study.ID"	"Cross.ID"	"Env.ID"	"Usable"	"File"	"Source"	"Study.name"	"Genus"	"spL.name"	"spS.name"	"species.pair"	"taxa"	"sex.det"	"hetero.males"	"trait.type"	"trait"	"Mn.spL"	"SD.spL"	"SE.spL"	"Mn.hybLS"	"SD.hybLS"	"SE.hybLS"	"Mn.hybSL"	"SD.hybSL"	"SE.hybSL"	"Mn.spS"	"SD.spS"	"SE.spS"	"Parents.spLF.spL"	"Parents.sp.spL"	"Parents.spLF.hybLS"	"Parents.sp.hybSL"	"Parents.spSF.hybSL"	"Parents.sp.hybLS"	"Parents.spSF.spS"	"Parents.sp.spS"	"lnL.lnS"	"divergence"	"N.spL"	"N.hybLS"	"N.hybSL"	"N.spS"	"reps.spL"	"reps.hybLS"	"reps.hybSL"	"reps.spS"	"Bottleneck.spLF"	"Bottleneck.sp"	"Bottleneck.spSF"	"Bottleneck.sp.1"	"Survival.spL"	"Survival.hybLS"	"Survival.hybSL"	"Survival.spS"	"surv.relat.hybLS"	"surv.relat.hybSL"	"surv.File"	"surv.Source"	"surv.Study.name"	"comments"	"parentals"	"ES.ID"	"sex"	"SMD.recip.es"	"SMD.recip.sv"	"lnRR.recip.es"	"lnRR.recip.sv"
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Carrier frequency"	5.18	0.22	NA	5.01	0.17	NA	4.82	0.27	NA	4.73	0.27	NA	NA	NA	12	12	12	12	NA	NA	-0.248115482411452	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	"integerはtexensis"	NA	"ES001"	"male"	0.852263447829348	0.0884323610138908	0.0386619870342644	0.00000783485268607219
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse rate"	66.88	5.4	NA	61.96	2.79	NA	55.27	3.96	NA	45.34	3.86	NA	NA	NA	12	12	12	12	NA	NA	-0.0764298027616157	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES002"	"male"	1.96415491779858	0.119747876579954	0.114258749703496	0.00305478773890335
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Pulse duty cycle"	0.44	0.08	NA	0.48	0.08	NA	0.46	0.08	NA	0.43	0.06	NA	NA	NA	12	12	12	12	NA	NA	-0.287251163868385	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES003"	"male"	0.24606985657398	0.0817743349119746	0.0425596144187959	0.0000151479690232053
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_texensis"	"Gryllus_rubens"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Trill rate"	1.28	0.39	NA	0.68	0.35	NA	0.59	0.25	NA	0.28	0.15	NA	NA	NA	12	12	12	12	NA	NA	0.575606644066865	-0.695224376631898	44	28	22	73	NA	NA	NA	NA	NA	NA	NA	NA	43.8	52.4	69.1	76.5	0.146548496696866	0.512231792442923	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES004"	"male"	0.285535787301714	0.0819841380271313	0.141970261270387	0.00192521822889693
"s001"	NA	NA	"y"	"Blankers-2015-JEB"	"table1"	"Blankers.et.al_2015"	"Gryllus"	"Gryllus_rubens"	"Gryllus_texensis"	"Gryllus_rubens_Gryllus_texensis"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"Trill duty cycle"	0.78	0.1	NA	0.71	0.1	NA	0.73	0.14	NA	0.62	0.11	NA	NA	NA	12	12	12	12	NA	NA	-0.168164379392867	-0.695224376631898	73	22	28	44	NA	NA	NA	NA	NA	NA	NA	NA	76.5	69.1	52.4	43.8	0.512231792442923	0.146548496696866	"Cade_1989_Gryllus.mortality"	"table1"	NA	NA	NA	"ES005"	"male"	-0.158630992945396	0.0814204690880596	-0.0277795641070758	0.0000372788099118473
"s002"	"parallelus_localityA"	NA	"y"	"ButlinHewitt_BiolJLinnSoc.1988"	"Fig1"	"Butlin&Hewitt_1988"	"Chorthippus"	"Chorthippus_parallelus_eythropus"	"Chorthippus_parallelus_parallelus"	"Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"EI"	14.96	3.09586821424944	NA	12.5	1.89736659610103	NA	11.6	2.32163735324878	NA	9.18888888888889	1.58636162645109	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0195483832198299	NA	10	7	12	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ES006"	"male"	0.394070231647392	0.230277090597598	0.0747235461959366	0.0347216669558245
"s002"	"parallelus_localityB"	NA	"y"	"ButlinHewitt_BiolJLinnSoc.1988"	"Fig1"	"Butlin&Hewitt_1988"	"Chorthippus"	"Chorthippus_parallelus_eythropus"	"Chorthippus_parallelus_parallelus"	"Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"EI"	14.96	3.09586821424944	NA	12.7666666666667	1.74610678049451	NA	11.74	2.94998305079877	NA	10.788	2.47035544001263	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.112034367292217	NA	10	3	10	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ES007"	"male"	0.344642562751184	0.437901737027937	0.0838357931185429	0.163187325012901
"s002"	"parallelus_localityA"	NA	"y"	"ButlinHewitt_BiolJLinnSoc.1988"	"Fig1"	"Butlin&Hewitt_1988"	"Chorthippus"	"Chorthippus_parallelus_eythropus"	"Chorthippus_parallelus_parallelus"	"Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"SI"	15.1375	11.2491874706576	NA	0.5	NA	NA	9.7	6.22825216252521	NA	11.875	6.64473475768597	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.160575174529457	NA	8	1	10	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ES008"	"male"	NA	NA	-2.96527306606928	NA
"s002"	"parallelus_localityB"	NA	"y"	"ButlinHewitt_BiolJLinnSoc.1988"	"Fig1"	"Butlin&Hewitt_1988"	"Chorthippus"	"Chorthippus_parallelus_eythropus"	"Chorthippus_parallelus_parallelus"	"Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"SI"	15.1375	11.2491874706576	NA	10.425	10.2530483272049	NA	6.93055555555555	5.62480589514204	NA	11.4291666666667	11.0768872658342	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.138516120151809	NA	8	3	9	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ES009"	"male"	0.473698505080138	0.453794039182576	0.408266790949403	11.551588823028
"s002"	"parallelus_localityA"	NA	"y"	"ButlinHewitt_BiolJLinnSoc.1988"	"Fig1"	"Butlin&Hewitt_1988"	"Chorthippus"	"Chorthippus_parallelus_parallelus"	"Chorthippus_parallelus_eythropus"	"Chorthippus_parallelus_eythropus_Chorthippus_parallelus_parallelus"	"Orthoptera"	"X0"	0.31197122273624	0.31197122273624	"ES"	59.4444444444444	25.434495871688	NA	43.6666666666667	18.5711843695788	NA	60.7142857142857	12.9362644830535	NA	31.6666666666667	26.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0625344659164496	NA	9	15	7	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ES010"	"male"	-0.960285599581426	0.230481728450252	-0.329593985336061	6.26935614028347
